Lot Area,Year Built,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,SalePrice
31770,1960,441,1080,1656,0,1656,1,0,3,7,2,2,528,215
11622,1961,270,882,896,0,896,1,0,2,5,0,1,730,105
14267,1958,406,1329,1329,0,1329,1,1,3,6,0,1,312,172
11160,1968,1045,2110,2110,0,2110,2,1,3,8,2,2,522,244
13830,1997,137,928,928,701,1629,2,1,3,6,1,2,482,189.9
9978,1998,324,926,926,678,1604,2,1,3,7,1,2,470,195.5
4920,2001,722,1338,1338,0,1338,2,0,2,6,0,2,582,213.5
5005,1992,1017,1280,1280,0,1280,2,0,2,5,0,2,506,191.5
5389,1995,415,1595,1616,0,1616,2,0,2,5,1,2,608,236.5
7500,1999,994,994,1028,776,1804,2,1,3,7,1,2,442,189
10000,1993,763,763,763,892,1655,2,1,3,7,1,2,440,175.9
7980,1992,233,1168,1187,0,1187,2,0,3,6,0,2,420,185
8402,1998,789,789,789,676,1465,2,1,3,7,1,2,393,180.4
10176,1990,663,1300,1341,0,1341,1,1,2,5,1,2,506,171.5
6820,1985,0,1488,1502,0,1502,1,1,1,4,0,2,528,212
53504,2003,234,1650,1690,1589,3279,3,1,4,12,1,3,841,538
12134,1988,132,559,1080,672,1752,2,0,4,8,0,2,492,164
11394,2010,411,1856,1856,0,1856,1,1,1,8,1,3,834,394.432
19138,1951,744,864,864,0,864,1,0,2,4,0,2,400,141
13175,1978,589,1542,2073,0,2073,2,0,3,7,2,2,500,210
11751,1977,1139,1844,1844,0,1844,2,0,3,7,1,2,546,190
10625,1974,0,1053,1173,0,1173,2,0,3,6,2,2,528,170
7500,2000,281,814,814,860,1674,2,1,3,7,0,2,663,216
11241,1970,426,1004,1004,0,1004,1,0,2,5,1,2,480,149
12537,1971,344,1078,1078,0,1078,1,1,3,6,1,2,500,149.9
8450,1968,281,1056,1056,0,1056,1,0,3,6,1,1,304,142
8400,1970,0,882,882,0,882,1,0,2,4,0,2,525,126
10500,1971,432,864,864,0,864,1,0,3,5,1,0,0,115
5858,1999,354,1405,1337,0,1337,2,0,2,5,1,2,511,184
1680,1971,327,483,483,504,987,1,1,2,5,0,1,264,96
1680,1971,225,525,525,567,1092,1,1,3,6,0,1,320,105.5
1680,1971,525,525,525,567,1092,1,1,3,6,0,1,264,88
4043,1977,709,1069,1069,0,1069,2,0,2,4,1,2,440,127.5
2280,1975,341,855,855,601,1456,2,1,3,6,1,2,440,149.9
2280,1975,836,836,836,0,836,1,0,2,4,0,1,308,120
2280,1978,544,855,855,601,1456,2,1,3,7,1,2,440,146
12858,2009,1590,1590,1627,707,2334,2,1,3,10,1,3,751,376.162
11478,2007,486,1704,1704,0,1704,2,0,3,7,1,3,772,306
10159,2009,284,1930,1940,0,1940,2,1,3,8,1,3,606,395.192
12883,2009,1544,1544,1544,0,1544,2,0,3,7,0,3,868,290.941
